,entropy,sum_added_lines,mean_added_lines,sum_added_methods,mean_added_methods,med_added_methods,sum_added_conditionals,mean_added_conditionals,sum_added_calls,mean_added_calls,med_added_calls,mean_added_assignments,med_sloc,sum_wmc,sum_mi,sum_dit,sum_lcom5,sum_tcc,mean_tcc,sum_lcc,target
3846,-0.8625960639829908,-0.09152294736171204,0.06321592880542674,-0.06361629752379636,-0.014315529128898333,-0.008117263295431379,-0.08435980330865121,-0.26705645500805303,-0.029151682072153986,0.4811061232531687,0.5722816353010628,-0.2868456270181153,-0.43809614182417156,-0.2999825629812564,0.012569298102833557,-0.1473382488953919,-0.10046171407056512,-0.04503280397934999,0.7080373262376468,-0.029967795071692446,0
2088,0.9671681956931751,-0.06775827938763443,-0.059607481488428066,-0.09279418514489787,-0.09044855219091034,-0.08655070154285047,-0.08435980330865121,-0.26705645500805303,-0.0855118096951486,-0.3908846852553133,-0.390462154200641,-0.2868456270181153,-0.5292344752412317,-0.3469614718167102,-0.13403596997857195,-0.25213361285540054,-0.2718125588091419,-0.2030632373742587,-0.7059600927714776,-0.2097501590066851,0
435,-0.8625960639829908,-0.12419936582606875,-0.20699557384105385,-0.09279418514489787,-0.09044855219091034,-0.08655070154285047,-0.08435980330865121,-0.26705645500805303,-0.0855118096951486,-0.3908846852553133,-0.390462154200641,-0.2868456270181153,2.8207150773858447,0.3601947348643311,-0.26187448728754925,-0.04254288493538332,-0.05711795180876013,-0.1647522402811292,-0.36316756954919804,-0.16331163234177537,0
4030,-0.8625960639829908,-0.12122878232930905,-0.1824308917822829,-0.09279418514489787,-0.09044855219091034,-0.08655070154285047,-0.04373207865558554,0.06385795596514397,-0.06672510048748373,-0.1002210824191526,-0.06954755770007305,-0.2868456270181153,0.15799782268741117,-0.0972314827440348,-0.11340419529620752,-0.04254288493538332,-0.05986291204405134,-0.1490275037808404,-0.22246848805997824,-0.14328376657878933,0
5991,-0.8625960639829908,-0.11677290708416949,-0.14558386869412643,-0.03443840990269484,0.06181749393311368,0.0703161749519877,-0.08435980330865121,-0.26705645500805303,-0.0855118096951486,-0.3908846852553133,-0.390462154200641,0.2921561083655304,-0.3346418174048059,-0.2604213765935059,-0.02869774024867949,-0.1473382488953919,-0.1144495370589066,0.011840772042580515,1.2169208873164576,-0.02726431226702671,0
308,-0.24880323320066683,-0.051420070155456084,-0.014572231047347955,-0.03443840990269484,0.06181749393311368,0.0703161749519877,0.28128971856893986,1.2220583943713335,0.2056821830236569,1.1108772627315169,-0.23000485595035702,0.2921561083655304,0.5496463365607238,0.40470106955055046,-0.12447142939316955,0.16704784298463385,0.3240189850383995,0.28353830299091615,0.7453496483988976,0.268631079261036,0
8820,-0.8625960639829908,-0.12419936582606875,-0.20699557384105385,-0.09279418514489787,-0.09044855219091034,-0.08655070154285047,-0.08435980330865121,-0.26705645500805303,-0.0855118096951486,-0.3908846852553133,-0.390462154200641,-0.2868456270181153,-0.5292344752412317,-0.3469614718167102,-0.13403596997857195,-0.25213361285540054,-0.2718125588091419,-0.2030632373742587,-0.7059600927714776,-0.2097501590066851,0
7548,-0.8625960639829908,-0.12271407407768889,-0.19471323281166836,-0.09279418514489787,-0.09044855219091034,-0.08655070154285047,-0.08435980330865121,-0.26705645500805303,-0.0855118096951486,-0.3908846852553133,-0.390462154200641,-0.2868456270181153,-0.3962217724163331,-0.28514711808584997,-0.010245512181112552,-0.1473382488953919,-0.1144495370589066,0.10952443343551051,2.0909578821008705,0.03356431811767075,0
4121,-0.8625960639829908,-0.12271407407768889,-0.19471323281166836,-0.09279418514489787,-0.09044855219091034,-0.08655070154285047,-0.08435980330865121,-0.26705645500805303,-0.0855118096951486,-0.3908846852553133,-0.390462154200641,-0.2868456270181153,0.11366025507911164,-0.18377157796723914,-0.09509122459048276,-0.04254288493538332,-0.08006280335733484,-0.09043974192869114,0.3017529689390078,-0.10956184820907726,0
87,1.3523727329399993,-0.07815532162629339,-0.08826627722366087,-0.03443840990269484,0.06181749393311368,0.0703161749519877,-0.0031043540025198642,0.39477236693834095,-0.010364972864489116,0.19044252041700804,0.2513670388004949,-0.2868456270181153,0.07671228207219535,0.37255760561050316,0.08749479865774673,0.16704784298463385,0.1546982143413622,-0.06613132755283672,-0.09335224595366726,-0.06193294967731185,0
5579,-0.8625960639829908,-0.12419936582606875,-0.20699557384105385,-0.09279418514489787,-0.09044855219091034,-0.08655070154285047,-0.08435980330865121,-0.26705645500805303,-0.07611845509131616,-0.24555288383723292,-0.23000485595035702,-0.2868456270181153,0.5742783185653346,0.07337613355313952,-0.16619178652997832,-0.1473382488953919,-0.06824775326374086,-0.13675676273598744,-0.11267447057859385,-0.14265435059969392,0
6775,-0.8625960639829908,-0.1138023235874098,-0.12101918663535548,-0.09279418514489787,-0.09044855219091034,-0.08655070154285047,-0.04373207865558554,0.06385795596514397,-0.038545036675986424,0.3357743218350884,0.41182433705077887,-0.2868456270181153,-0.036594835149014585,-0.243113357548865,-0.07304744725978805,-0.1473382488953919,-0.051504333611369885,-0.16398977852303753,-0.35634534591243416,-0.11850723008505165,0
401,-0.8625960639829908,-0.12419936582606875,-0.20699557384105385,-0.09279418514489787,-0.09044855219091034,-0.08655070154285047,-0.08435980330865121,-0.26705645500805303,-0.0855118096951486,-0.3908846852553133,-0.390462154200641,-0.2868456270181153,-0.5292344752412317,-0.3469614718167102,-0.13403596997857195,-0.25213361285540054,-0.2718125588091419,-0.2030632373742587,-0.7059600927714776,-0.2097501590066851,0
4343,0.8332169341702566,-0.023199526936238925,-0.0780309930325063,0.0239173653395082,0.06181749393311368,0.0703161749519877,-0.04373207865558554,0.06385795596514397,-0.0009716182606566802,0.2631084211260482,0.3315956879256369,1.4501595791328217,-0.4331697454232494,-0.06508801880398746,0.8155131214660086,0.5862292988246682,0.4733703335095423,0.6526189710522387,1.846148401384931,0.5612732150166642,0
1020,1.2472804924572225,-0.1048905730971307,-0.13330152766474096,-0.06361629752379636,-0.014315529128898333,-0.008117263295431379,-0.04373207865558554,0.06385795596514397,-0.07611845509131616,-0.24555288383723292,-0.23000485595035702,0.2921561083655304,-0.44671733552578535,-0.2925648405335532,0.2124032961317799,-0.04254288493538332,0.11372683528695912,-0.03895471101426572,0.7624218367429731,0.0031500053046667007,0
881,0.12680089836937553,0.09265322943738939,0.23209811795947713,0.22816257868721884,0.1887058657031337,-0.008117263295431379,0.4438006171812026,1.8838872163177274,0.4968761757424624,1.8617582367249317,0.41182433705077887,2.6081630499001127,-0.22010310108336548,-0.027999406565471306,0.22087866067765788,0.7958200267446854,0.4313378722030477,0.14078319318026492,0.31957647613445483,0.20456031733339344,0
6578,-0.8625960639829908,-0.09003765561333218,0.07549826983481223,-0.03443840990269484,0.06181749393311368,0.0703161749519877,-0.08435980330865121,-0.26705645500805303,-0.06672510048748373,-0.1002210824191526,-0.06954755770007305,-0.2868456270181153,-0.37158979041172224,-0.30492771127972523,-0.01055658073780367,-0.1473382488953919,-0.2718125588091419,-0.2030632373742587,-0.7059600927714776,-0.2097501590066851,0
2036,0.9021390359670753,-0.07964061337467324,-0.028901628914964363,-0.06361629752379636,-0.014315529128898333,-0.008117263295431379,0.03752337065054581,0.22931516145174247,-0.04793839127981886,0.19044252041700804,0.2513670388004949,-0.2868456270181153,-0.15729154697160777,-0.1491555398779574,0.01417590611813256,-0.04254288493538332,0.14448415687517055,-0.04676940196937408,0.6924988946646964,-0.0840376791855384,0
